eccc_wind_gust_max_kmh,weather_stress_score,worldcover_tree_pct,worldcover_shrub_grass_pct,sentinel2_ndvi_mean,sentinel2_ndmi_mean,vegetation_dryness_score,wildfire_exposure_score,distance_to_active_fire_km,planning_priority_score,tree_contact_exposure_proxy,outage_history_proxy_score
0.0,27.6,93.52,5.89,0.2479,-0.4261,100.0,6.5,170.61,49.05,71.65,15.936388888888889
0.0,27.6,81.38,18.62,0.2479,-0.4261,100.0,6.5,168.38,48.85,72.29,15.936388888888889
0.0,27.6,64.2,30.13,0.2479,-0.4261,100.0,6.5,165.55,44.25,63.43,15.936388888888889
0.0,27.6,55.32,44.38,0.2479,-0.4261,100.0,6.5,162.65,36.86,54.64,15.936388888888889
0.0,27.6,76.03,23.5,0.2479,-0.4261,100.0,6.5,160.49,45.52,69.01,15.936388888888889
0.0,27.6,80.16,19.84,0.2479,-0.4261,100.0,6.5,158.58,42.21,64.31,15.936388888888889
0.0,27.6,50.17,49.83,0.2479,-0.4261,100.0,6.5,156.25,34.61,51.19,15.936388888888889
0.0,27.6,85.76,14.24,0.2479,-0.4261,100.0,6.5,154.55,38.78,61.36,15.936388888888889
0.0,27.6,18.91,22.48,0.2479,-0.4261,100.0,6.5,153.28,35.32,47.13,15.936388888888889
0.0,27.6,96.69,2.65,0.2479,-0.4261,100.0,6.5,150.49,49.63,73.04,15.936388888888889
0.0,27.6,81.9,18.1,0.2479,-0.4261,100.0,6.5,146.48,42.53,66.14,15.936388888888889
0.0,27.6,74.24,18.46,0.2479,-0.4261,100.0,6.5,142.18,42.71,63.76,15.936388888888889
0.0,27.6,43.83,55.87,0.2479,-0.4261,100.0,6.5,137.4,30.99,46.57,15.936388888888889
0.0,27.6,84.39,15.38,0.2479,-0.4261,100.0,6.5,133.23,47.97,70.45,15.936388888888889
0.0,27.6,60.45,39.55,0.2479,-0.4261,100.0,6.5,129.3,39.43,58.88,15.936388888888889
0.0,27.6,70.8,29.2,0.2479,-0.4261,100.0,6.5,124.86,49.58,71.68,15.936388888888889
0.0,27.6,22.66,77.34,0.2479,-0.4261,100.0,6.5,120.97,36.33,47.84,15.936388888888889
0.0,27.6,93.11,6.89,0.2479,-0.4261,100.0,6.5,117.23,41.77,66.15,15.936388888888889
0.0,27.6,93.8,4.34,0.2479,-0.4261,100.0,6.5,113.11,49.83,72.29,15.936388888888889
0.0,27.6,74.08,23.18,0.2479,-0.4261,100.0,6.5,109.04,49.79,71.54,15.936388888888889
0.0,27.6,94.88,5.12,0.2479,-0.4261,100.0,6.5,106.25,50.17,72.81,15.936388888888889
0.0,27.6,79.89,20.11,0.2479,-0.4261,100.0,6.5,105.55,49.05,72.67,15.936388888888889
0.0,27.6,59.87,8.49,0.2479,-0.4261,100.0,6.5,103.84,31.9,49.92,15.936388888888889
0.0,27.6,21.86,75.69,0.2479,-0.4261,100.0,6.5,100.89,30.54,41.04,15.936388888888889
0.0,27.6,79.08,17.38,0.2479,-0.4261,100.0,6.5,97.47,47.0,69.4,15.936388888888889
0.0,27.6,67.99,31.22,0.2479,-0.4261,100.0,6.5,94.03,49.88,71.5,15.936388888888889
0.0,27.6,59.03,38.65,0.2479,-0.4261,100.0,6.5,90.91,37.82,56.93,15.936388888888889
0.0,27.6,73.58,18.99,0.2479,-0.4261,100.0,6.5,87.48,43.26,66.39,15.936388888888889
0.0,27.6,25.14,74.86,0.2479,-0.4261,100.0,6.5,85.13,34.8,47.81,15.936388888888889
0.0,27.6,69.21,30.79,0.2479,-0.4261,100.0,6.5,82.24,38.48,59.12,15.936388888888889
0.0,27.6,71.0,26.61,0.2479,-0.4261,100.0,6.5,79.78,46.4,67.25,15.936388888888889
0.0,27.6,22.17,77.33,0.2479,-0.4261,100.0,6.5,80.18,28.98,39.35,15.936388888888889
0.0,27.6,88.45,11.55,0.2479,-0.4261,100.0,6.5,80.58,40.88,64.6,15.936388888888889
0.0,27.6,74.42,25.58,0.2479,-0.4261,100.0,6.5,78.62,50.53,73.01,15.936388888888889
0.0,27.6,77.44,22.56,0.2479,-0.4261,100.0,6.5,75.64,51.18,74.02,15.936388888888889
0.0,27.6,86.51,13.49,0.2479,-0.4261,100.0,6.5,73.38,50.52,74.58,15.936388888888889
0.0,27.6,87.04,12.96,0.2479,-0.4261,100.0,6.5,71.62,47.69,71.9,15.936388888888889
0.0,27.6,73.72,25.73,0.2479,-0.4261,100.0,6.5,71.01,41.96,64.04,15.936388888888889
0.0,27.6,78.15,21.85,0.2479,-0.4261,100.0,6.5,72.35,51.68,75.27,15.936388888888889
0.0,27.6,7.06,92.94,0.2479,-0.4261,100.0,6.5,74.68,28.7,36.75,15.936388888888889
0.0,27.6,91.97,4.72,0.2479,-0.4261,100.0,6.5,77.09,51.78,75.22,15.936388888888889
0.0,27.6,11.31,88.69,0.2479,-0.4261,100.0,6.5,78.99,35.7,44.21,15.936388888888889
0.0,27.6,79.93,20.07,0.2479,-0.4261,100.0,6.5,81.81,50.45,73.22,15.936388888888889
0.0,27.6,18.08,47.05,0.2479,-0.4261,100.0,6.5,86.01,41.76,52.94,15.936388888888889
0.0,27.6,30.27,65.03,0.2479,-0.4261,100.0,6.5,88.29,36.88,49.23,15.936388888888889
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,34.5,15.29,41.79,42.46,15.936388888888889
0.0,27.6,0.0,87.5,0.2479,-0.4261,100.0,34.5,15.29,36.17,37.89,15.936388888888889
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,34.5,15.31,37.29,39.25,15.936388888888889
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,34.5,15.33,41.78,42.76,15.936388888888889
0.0,27.6,0.0,36.36,0.2479,-0.4261,100.0,34.5,15.35,39.91,42.24,15.936388888888889
0.0,27.6,28.57,0.0,0.2479,-0.4261,100.0,34.5,15.37,49.52,57.5,15.936388888888889
0.0,27.6,39.29,39.29,0.2479,-0.4261,100.0,34.5,15.44,50.65,61.3,15.936388888888889
0.0,27.6,0.0,96.05,0.2479,-0.4261,100.0,34.5,15.92,28.75,29.47,15.936388888888889
0.0,27.6,9.52,47.62,0.2479,-0.4261,100.0,34.5,15.49,44.12,47.08,15.936388888888889
0.0,27.6,12.25,77.68,0.2479,-0.4261,100.0,34.5,16.75,34.81,38.22,15.936388888888889
0.0,27.6,15.9,78.24,0.2479,-0.4261,100.0,34.5,18.54,44.64,48.61,15.936388888888889
0.0,27.6,8.89,86.58,0.2479,-0.4261,100.0,34.5,16.76,37.13,40.47,15.936388888888889
0.0,27.6,10.5,84.45,0.2479,-0.4261,100.0,34.5,18.55,44.15,47.54,15.936388888888889
0.0,27.6,14.22,84.91,0.2479,-0.4261,100.0,34.5,16.99,46.52,51.74,15.936388888888889
0.0,27.6,6.8,90.18,0.2479,-0.4261,100.0,34.5,18.27,35.99,39.77,15.936388888888889
0.0,27.6,15.44,84.56,0.2479,-0.4261,100.0,16.25,32.65,30.43,38.24,15.936388888888889
0.0,27.6,27.09,72.91,0.2479,-0.4261,100.0,16.25,32.78,37.17,47.83,15.936388888888889
0.0,27.6,75.89,22.58,0.2479,-0.4261,100.0,16.25,36.29,52.38,72.72,15.936388888888889
0.0,27.6,67.37,29.4,0.2479,-0.4261,100.0,16.25,36.45,38.46,56.57,15.936388888888889
0.0,27.6,3.77,69.81,0.2479,-0.4261,100.0,34.5,15.11,38.91,40.78,15.936388888888889
0.0,27.6,0.55,49.11,0.2479,-0.4261,100.0,34.5,17.04,43.14,44.55,15.936388888888889
0.0,27.6,12.21,83.01,0.2479,-0.4261,100.0,16.25,20.58,30.63,38.05,15.936388888888889
0.0,27.6,82.7,17.3,0.2479,-0.4261,100.0,16.25,34.46,44.18,66.01,15.936388888888889
0.0,27.6,93.06,6.94,0.2479,-0.4261,100.0,34.5,19.01,46.7,65.56,15.936388888888889
0.0,27.6,100.0,0.0,0.2479,-0.4261,100.0,34.5,19.19,47.38,65.22,15.936388888888889
0.0,27.6,64.29,0.0,0.2479,-0.4261,100.0,34.5,19.24,52.04,67.25,15.936388888888889
0.0,27.6,0.0,72.22,0.2479,-0.4261,100.0,34.5,15.37,30.44,32.1,15.936388888888889
0.0,27.6,0.0,74.19,0.2479,-0.4261,100.0,34.5,15.34,29.88,30.43,15.936388888888889
0.0,27.6,3.08,69.23,0.2479,-0.4261,100.0,34.5,15.34,45.17,47.9,15.936388888888889
0.0,27.6,0.0,78.01,0.2479,-0.4261,100.0,34.5,15.24,43.44,45.98,15.936388888888889
0.0,27.6,61.31,22.14,0.2479,-0.4261,100.0,16.25,23.07,38.38,56.47,15.936388888888889
0.0,27.6,36.73,54.98,0.2479,-0.4261,100.0,34.5,12.31,47.95,57.36,15.936388888888889
0.0,27.6,16.67,0.0,0.2479,-0.4261,100.0,34.5,15.31,39.74,44.16,15.936388888888889
0.0,27.6,1.92,93.61,0.2479,-0.4261,100.0,34.5,15.23,35.86,37.54,15.936388888888889
0.0,27.6,32.77,67.23,0.2479,-0.4261,100.0,16.25,33.77,43.88,54.91,15.936388888888889
0.0,27.6,30.62,69.38,0.2479,-0.4261,100.0,16.25,33.04,43.27,54.17,15.936388888888889
0.0,27.6,13.53,86.47,0.2479,-0.4261,100.0,16.25,32.28,41.0,49.07,15.936388888888889
0.0,27.6,54.0,42.0,0.2479,-0.4261,100.0,16.25,25.08,40.5,55.77,15.936388888888889
0.0,27.6,61.8,38.2,0.2479,-0.4261,100.0,16.25,24.34,46.95,65.42,15.936388888888889
0.0,27.6,12.26,87.74,0.2479,-0.4261,100.0,16.25,31.38,34.36,43.13,15.936388888888889
0.0,27.6,0.0,53.85,0.2479,-0.4261,100.0,16.25,30.06,30.05,36.16,15.936388888888889
0.0,27.6,0.0,65.71,0.2479,-0.4261,100.0,16.25,29.94,35.01,39.54,15.936388888888889
0.0,27.6,60.23,36.55,0.2479,-0.4261,100.0,16.25,26.51,39.17,56.58,15.936388888888889
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,16.25,30.46,39.27,45.21,15.936388888888889
0.0,27.6,33.01,16.31,0.2479,-0.4261,100.0,16.25,28.65,34.08,45.87,15.936388888888889
0.0,27.6,13.58,74.86,0.2479,-0.4261,100.0,34.5,14.26,37.8,42.87,15.936388888888889
0.0,27.6,0.0,67.24,0.2479,-0.4261,100.0,34.5,15.24,35.46,36.4,15.936388888888889
0.0,27.6,0.0,57.52,0.2479,-0.4261,100.0,34.5,15.26,31.29,32.86,15.936388888888889
0.0,27.6,48.24,44.49,0.2479,-0.4261,100.0,34.5,14.13,50.53,62.07,15.936388888888889
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,34.5,15.3,42.43,44.36,15.936388888888889
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,34.5,15.23,37.87,38.98,15.936388888888889
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,34.5,15.25,33.59,35.37,15.936388888888889
0.0,27.6,0.0,58.33,0.2479,-0.4261,100.0,34.5,15.37,45.38,47.84,15.936388888888889
0.0,27.6,5.3,24.24,0.2479,-0.4261,100.0,34.5,13.22,38.63,42.1,15.936388888888889
0.0,27.6,75.0,0.0,0.2479,-0.4261,100.0,47.5,7.61,56.49,69.41,15.936388888888889
0.0,27.6,86.93,10.1,0.2479,-0.4261,100.0,47.5,9.75,48.87,62.94,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,34.5,13.1,29.19,30.13,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,34.5,13.11,37.19,39.21,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,34.5,13.12,36.59,36.86,15.936388888888889
0.0,27.6,19.1,2.25,0.2479,-0.4261,100.0,34.5,13.33,43.74,48.37,15.936388888888889
0.0,27.6,0.0,30.0,0.2479,-0.4261,100.0,34.5,13.59,33.9,34.79,15.936388888888889
0.0,27.6,0.0,25.0,0.2479,-0.4261,100.0,34.5,13.64,31.48,33.05,15.936388888888889
0.0,27.6,12.6,9.45,0.2479,-0.4261,100.0,34.5,13.99,43.49,48.06,15.936388888888889
0.0,27.6,3.31,42.15,0.2479,-0.4261,100.0,34.5,14.38,34.86,37.98,15.936388888888889
0.0,27.6,3.14,21.99,0.2479,-0.4261,100.0,34.5,15.03,30.8,31.86,15.936388888888889
0.0,27.6,0.0,73.93,0.2479,-0.4261,100.0,34.5,16.19,38.33,39.87,15.936388888888889
0.0,27.6,64.84,35.16,0.2479,-0.4261,100.0,34.5,12.47,43.45,58.8,15.936388888888889
0.0,27.6,31.26,52.88,0.2479,-0.4261,100.0,34.5,16.03,36.53,44.8,15.936388888888889
0.0,27.6,0.0,76.92,0.2479,-0.4261,100.0,34.5,17.71,42.92,44.16,15.936388888888889
0.0,27.6,10.53,71.05,0.2479,-0.4261,100.0,34.5,16.8,33.41,37.79,15.936388888888889
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,34.5,16.82,36.11,36.66,15.936388888888889
0.0,27.6,0.0,14.29,0.2479,-0.4261,100.0,34.5,16.78,37.02,37.81,15.936388888888889
0.0,27.6,0.0,79.58,0.2479,-0.4261,100.0,34.5,17.26,42.22,43.1,15.936388888888889
0.0,27.6,90.2,0.0,0.2479,-0.4261,100.0,34.5,14.77,49.28,67.13,15.936388888888889
0.0,27.6,94.59,5.41,0.2479,-0.4261,100.0,34.5,15.05,54.34,71.71,15.936388888888889
0.0,27.6,17.35,81.8,0.2479,-0.4261,100.0,34.5,19.53,38.58,43.34,15.936388888888889
0.0,27.6,7.02,91.84,0.2479,-0.4261,100.0,34.5,19.49,43.77,46.26,15.936388888888889
0.0,27.6,0.0,50.0,0.2479,-0.4261,100.0,34.5,17.64,38.73,41.2,15.936388888888889
0.0,27.6,96.88,3.12,0.2479,-0.4261,100.0,34.5,19.02,47.9,65.8,15.936388888888889
0.0,27.6,71.75,27.7,0.2479,-0.4261,100.0,34.5,18.43,51.48,68.64,15.936388888888889
0.0,27.6,15.72,84.28,0.2479,-0.4261,100.0,34.5,15.06,38.54,43.19,15.936388888888889
0.0,27.6,19.18,80.82,0.2479,-0.4261,100.0,34.5,18.06,47.46,53.22,15.936388888888889
0.0,27.6,14.48,75.41,0.2479,-0.4261,100.0,47.5,8.5,47.89,50.55,15.936388888888889
0.0,27.6,23.17,76.83,0.2479,-0.4261,100.0,34.5,11.87,48.86,56.0,15.936388888888889
0.0,27.6,47.92,18.75,0.2479,-0.4261,100.0,47.5,6.6,41.21,49.56,15.936388888888889
0.0,27.6,4.89,78.44,0.2479,-0.4261,100.0,47.5,7.06,42.78,43.43,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,8.11,42.33,40.1,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,8.08,34.26,32.89,15.936388888888889
0.0,27.6,21.48,73.25,0.2479,-0.4261,100.0,34.5,12.68,47.77,53.95,15.936388888888889
0.0,27.6,16.97,75.88,0.2479,-0.4261,100.0,47.5,9.34,43.58,45.64,15.936388888888889
0.0,27.6,22.82,72.47,0.2479,-0.4261,100.0,47.5,9.32,52.22,56.88,15.936388888888889
0.0,27.6,21.43,54.2,0.2479,-0.4261,100.0,47.5,7.29,40.84,42.89,15.936388888888889
0.0,27.6,58.06,3.23,0.2479,-0.4261,100.0,47.5,6.51,44.94,55.61,15.936388888888889
0.0,27.6,33.33,6.06,0.2479,-0.4261,100.0,47.5,6.5,49.39,54.29,15.936388888888889
0.0,27.6,27.31,11.45,0.2479,-0.4261,100.0,47.5,5.98,39.36,44.79,15.936388888888889
0.0,27.6,10.07,35.14,0.2479,-0.4261,100.0,57.25,4.69,48.41,47.38,15.936388888888889
0.0,27.6,4.01,4.74,0.2479,-0.4261,100.0,57.25,4.27,36.72,34.45,15.936388888888889
0.0,27.6,0.0,1.27,0.2479,-0.4261,100.0,47.5,5.09,43.72,41.47,15.936388888888889
0.0,27.6,1.02,3.07,0.2479,-0.4261,100.0,47.5,5.61,33.65,32.51,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,57.25,4.9,45.08,42.03,15.936388888888889
0.0,27.6,21.37,34.35,0.2479,-0.4261,100.0,34.5,10.97,48.15,54.51,15.936388888888889
0.0,27.6,72.0,14.0,0.2479,-0.4261,100.0,34.5,10.01,45.28,61.76,15.936388888888889
0.0,27.6,0.3,0.91,0.2479,-0.4261,100.0,47.5,7.24,35.03,33.88,15.936388888888889
0.0,27.6,2.82,11.69,0.2479,-0.4261,100.0,47.5,8.77,36.29,35.85,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,5.32,44.76,44.8,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,5.33,42.82,40.85,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,5.68,43.1,40.94,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,5.34,44.38,44.12,15.936388888888889
0.0,27.6,25.0,0.0,0.2479,-0.4261,100.0,47.5,9.41,48.27,52.05,15.936388888888889
0.0,27.6,53.25,13.11,0.2479,-0.4261,100.0,34.5,11.06,44.63,57.86,15.936388888888889
0.0,27.6,23.39,47.58,0.2479,-0.4261,100.0,47.5,8.13,41.78,44.94,15.936388888888889
0.0,27.6,0.0,41.89,0.2479,-0.4261,100.0,47.5,7.03,43.88,43.27,15.936388888888889
0.0,27.6,0.0,1.33,0.2479,-0.4261,100.0,47.5,6.3,38.03,36.47,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,6.56,44.57,42.84,15.936388888888889
0.0,27.6,93.36,3.54,0.2479,-0.4261,100.0,47.5,6.77,46.86,61.28,15.936388888888889
0.0,27.6,22.22,0.0,0.2479,-0.4261,100.0,34.5,12.92,43.88,50.81,15.936388888888889
0.0,27.6,9.95,89.04,0.2479,-0.4261,100.0,34.5,19.54,42.94,45.36,15.936388888888889
0.0,27.6,41.5,51.19,0.2479,-0.4261,100.0,34.5,19.09,41.17,51.71,15.936388888888889
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,16.25,20.15,33.02,39.26,15.936388888888889
0.0,27.6,12.6,84.96,0.2479,-0.4261,100.0,16.25,20.63,39.47,46.98,15.936388888888889
0.0,27.6,5.25,86.09,0.2479,-0.4261,100.0,16.25,21.11,36.42,42.89,15.936388888888889
0.0,27.6,3.98,87.53,0.2479,-0.4261,100.0,16.25,21.13,38.7,43.77,15.936388888888889
0.0,27.6,44.44,3.7,0.2479,-0.4261,100.0,16.25,20.59,42.43,55.77,15.936388888888889
0.0,27.6,29.79,68.09,0.2479,-0.4261,100.0,16.25,20.85,45.7,57.29,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,16.25,21.03,24.27,28.23,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,16.25,21.03,27.17,32.78,15.936388888888889
0.0,27.6,0.0,60.29,0.2479,-0.4261,100.0,16.25,21.15,39.59,44.64,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,16.25,21.06,40.88,46.58,15.936388888888889
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,16.25,23.52,26.03,30.02,15.936388888888889
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,16.25,22.33,41.13,47.06,15.936388888888889
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,16.25,23.57,34.44,40.66,15.936388888888889
0.0,27.6,8.39,91.23,0.2479,-0.4261,100.0,16.25,27.25,34.77,41.72,15.936388888888889
0.0,27.6,26.95,69.92,0.2479,-0.4261,100.0,16.25,30.51,34.96,44.29,15.936388888888889
0.0,27.6,11.05,88.56,0.2479,-0.4261,100.0,16.25,27.24,36.48,42.83,15.936388888888889
0.0,27.6,31.13,66.54,0.2479,-0.4261,100.0,16.25,30.51,31.48,42.27,15.936388888888889
0.0,27.6,38.59,24.48,0.2479,-0.4261,100.0,6.5,62.31,39.06,52.96,15.936388888888889
0.0,27.6,32.64,66.91,0.2479,-0.4261,100.0,6.5,58.12,41.36,54.04,15.936388888888889
0.0,27.6,21.28,73.52,0.2479,-0.4261,100.0,6.5,54.28,41.28,52.59,15.936388888888889
0.0,27.6,21.73,71.03,0.2479,-0.4261,100.0,6.5,51.25,29.24,41.15,15.936388888888889
0.0,27.6,40.93,51.9,0.2479,-0.4261,100.0,6.5,52.41,29.85,44.52,15.936388888888889
0.0,27.6,18.0,78.08,0.2479,-0.4261,100.0,6.5,56.2,35.83,46.12,15.936388888888889
0.0,27.6,19.76,44.84,0.2479,-0.4261,100.0,6.5,59.19,39.24,50.61,15.936388888888889
0.0,27.6,1.61,48.62,0.2479,-0.4261,100.0,6.5,62.22,38.35,46.73,15.936388888888889
0.0,27.6,13.63,75.38,0.2479,-0.4261,100.0,6.5,65.73,35.28,44.47,15.936388888888889
0.0,27.6,43.26,48.48,0.2479,-0.4261,100.0,6.5,68.64,40.09,56.5,15.936388888888889
0.0,27.6,24.95,61.67,0.2479,-0.4261,100.0,6.5,67.18,33.98,45.0,15.936388888888889
0.0,27.6,21.84,74.95,0.2479,-0.4261,100.0,6.5,66.96,32.14,44.26,15.936388888888889
0.0,27.6,27.36,66.92,0.2479,-0.4261,100.0,6.5,70.66,40.55,54.09,15.936388888888889
0.0,27.6,27.06,42.25,0.2479,-0.4261,100.0,6.5,72.01,29.67,41.37,15.936388888888889
0.0,27.6,7.48,67.73,0.2479,-0.4261,100.0,6.5,70.01,38.02,47.45,15.936388888888889
0.0,27.6,18.5,59.93,0.2479,-0.4261,100.0,6.5,69.97,42.5,54.09,15.936388888888889
0.0,27.6,0.0,41.9,0.2479,-0.4261,100.0,6.5,70.99,34.92,41.71,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,6.5,64.58,35.84,41.94,15.936388888888889
0.0,27.6,46.38,39.75,0.2479,-0.4261,100.0,6.5,94.71,43.66,60.88,15.936388888888889
0.0,27.6,44.2,46.06,0.2479,-0.4261,100.0,6.5,92.57,44.59,61.08,15.936388888888889
0.0,27.6,50.36,32.6,0.2479,-0.4261,100.0,6.5,88.82,44.98,61.55,15.936388888888889
0.0,27.6,59.1,14.56,0.2479,-0.4261,100.0,6.5,85.09,45.51,63.38,15.936388888888889
0.0,27.6,74.12,21.09,0.2479,-0.4261,100.0,6.5,81.16,37.74,59.83,15.936388888888889
0.0,27.6,40.2,31.51,0.2479,-0.4261,100.0,6.5,76.49,40.15,56.25,15.936388888888889
0.0,27.6,5.08,27.34,0.2479,-0.4261,100.0,6.5,71.73,29.14,38.42,15.936388888888889
0.0,27.6,23.27,32.29,0.2479,-0.4261,100.0,6.5,67.14,43.07,55.5,15.936388888888889
0.0,27.6,6.06,66.67,0.2479,-0.4261,100.0,6.5,64.81,31.01,40.2,15.936388888888889
0.0,27.6,58.59,38.37,0.2479,-0.4261,100.0,6.5,87.97,41.9,60.39,15.936388888888889
0.0,27.6,54.51,29.35,0.2479,-0.4261,100.0,6.5,85.18,39.81,58.86,15.936388888888889
0.0,27.6,45.21,19.59,0.2479,-0.4261,100.0,6.5,81.56,33.58,49.78,15.936388888888889
0.0,27.6,38.0,61.89,0.2479,-0.4261,100.0,6.5,79.93,43.27,57.54,15.936388888888889
0.0,27.6,25.03,68.19,0.2479,-0.4261,100.0,6.5,78.78,30.78,42.7,15.936388888888889
0.0,27.6,28.34,67.84,0.2479,-0.4261,100.0,6.5,76.54,43.46,57.0,15.936388888888889
0.0,27.6,41.6,58.0,0.2479,-0.4261,100.0,6.5,73.57,38.13,52.86,15.936388888888889
0.0,27.6,34.03,65.97,0.2479,-0.4261,100.0,6.5,70.06,39.36,52.77,15.936388888888889
0.0,27.6,66.87,30.83,0.2479,-0.4261,100.0,6.5,66.53,38.43,58.45,15.936388888888889
0.0,27.6,60.74,39.26,0.2479,-0.4261,100.0,6.5,63.32,39.16,59.46,15.936388888888889
0.0,27.6,46.28,53.72,0.2479,-0.4261,100.0,6.5,62.35,42.55,59.93,15.936388888888889
0.0,27.6,15.46,84.54,0.2479,-0.4261,100.0,6.5,61.81,26.77,35.88,15.936388888888889
0.0,27.6,32.4,67.6,0.2479,-0.4261,100.0,6.5,60.24,43.79,57.67,15.936388888888889
0.0,27.6,30.05,69.95,0.2479,-0.4261,100.0,6.5,60.0,42.62,56.26,15.936388888888889
0.0,27.6,60.51,39.49,0.2479,-0.4261,100.0,6.5,61.53,43.59,62.94,15.936388888888889
